benchmark,lang,variant,threads,metric,value,stddev,sample_runs,unit,git_sha,cpu_model,flags,os,passed,oracle_kind,verify_abs_err,verify_rel_err,verify_ulps,verify_within_1ulp
md_neighbor_cell_list,rust,release,1,wall_time,2.1931,0.020113,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_neighbor_cell_list,julia,release,1,wall_time,2.1422,0.095291,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_neighbor_cell_list,li,release,1,wall_time,2.0638,0.029681,2,s,2fd1f3a6,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
md_thermostat_nose_hoover,cpp,release,1,wall_time,2.1232,0.032242,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
md_thermostat_nose_hoover,rust,release,1,wall_time,2.1905,0.063355,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_thermostat_nose_hoover,julia,release,1,wall_time,2.1575,0.074569,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_thermostat_nose_hoover,li,release,1,wall_time,2.1539,0.165422,2,s,2fd1f3a6,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
md_constraints_shake,cpp,release,1,wall_time,2.1709,0.077444,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
md_constraints_shake,rust,release,1,wall_time,2.1644,0.042065,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_constraints_shake,julia,release,1,wall_time,2.1335,0.016791,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_constraints_shake,li,release,1,wall_time,2.0931,0.040565,2,s,2fd1f3a6,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
md_lennard_jones,cpp,release,1,wall_time,2.2147,0.017485,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
md_lennard_jones,rust,release,1,wall_time,2.2108,0.11109,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_lennard_jones,julia,release,1,wall_time,2.1416,0.005607,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math (native C kernel),linux,,,,,,
md_lennard_jones,li,release,1,wall_time,2.0154,0.0505,2,s,2fd1f3a6,x86_64,shared C kernel + lic -O3 -march=native -ffast-math,linux,,,,,,
md_integrator_verlet,cpp,release,1,wall_time,2.2177,0.013847,2,s,2fd1f3a6,x86_64,-O3 -march=native -ffast-math,linux,,,,,,
